Area_Code,Territorial_authority_description,Paid_employee
001,Far North District,20739
002,Whangarei District,34050
003,Kaipara District,7431
011,Thames-Coromandel District,9297
012,Hauraki District,6849
013,Waikato District,30123
015,Matamata-Piako District,13500
016,Hamilton City,71397
017,Waipa District,22083
018,Otorohanga District,3690
019,South Waikato District,9117
020,Waitomo District,3741
021,Taupo District,15195
022,Western Bay of Plenty District,19416
023,Tauranga City,55461
024,Rotorua District,30123
025,Whakatane District,13554
026,Kawerau District,2310
027,Opotiki District,3390
028,Gisborne District,19002
029,Wairoa District,2979
030,Hastings District,34476
031,Napier City,26457
032,Central Hawke's Bay District,5694
033,New Plymouth District,33144
034,Stratford District,3552
035,South Taranaki District,10302
036,Ruapehu District,4809
037,Whanganui District,17415
038,Rangitikei District,6003
039,Manawatu District,12483
040,Palmerston North City,37683
041,Tararua District,6498
042,Horowhenua District,11901
043,Kapiti Coast District,19791
044,Porirua City,24396
045,Upper Hutt City,20181
046,Lower Hutt City,47634
047,Wellington City,102927
048,Masterton District,10314
049,Carterton District,3570
050,South Wairarapa District,4047
051,Tasman District,20832
052,Nelson City,21624
053,Marlborough District,20418
054,Kaikoura District,1716
055,Buller District,3573
056,Grey District,5775
057,Westland District,3975
058,Hurunui District,4845
059,Waimakariri District,25518
060,Christchurch City,171777
062,Selwyn District,28332
063,Ashburton District,14730
064,Timaru District,20274
065,Mackenzie District,2292
066,Waimate District,2904
067,Chatham Islands Territory,306
068,Waitaki District,8910
069,Central Otago District,9585
070,Queenstown-Lakes District,20109
071,Dunedin City,55155
072,Clutha District,7323
073,Southland District,12579
074,Gore District,5274
075,Invercargill City,25374
076,Auckland,691473
999,Area Outside Territorial Authority,18
Total,Total NZ (Territorial Authority),2021400
